MN124  MERCADOTECNIA INTERNACIONAL
MN128  MERCADOTECNIA TURISTICA I
MN142  MERCADOTECNIA TURISTICA II
MN143  MERCADOTECNIA TURISTICA III
DD100  METODOLOGIA
CM513  METODOLOGIA DE LA INVESTIGACION
CJ127  METODOLOGIA DE LA INVESTIGACION I
CT142  MINAS E HIDROCARBUROS
AEC07  MODELOS DE EVALUACION
SI114  MULTIMEDIA
DS105  NEGOCIACION COLECTIVA
MN129  NEGOCIOS INTERNACIONALES
TR136  NUTRICION
TR138  OPERACION DE EVENTOS Y BANQUETES
TR139  OPERACION DE SERVICIOS DE ALIMENTOS Y BEBIDAS
TR140  OPERACION DE SERVICIOS DE HOSPEDAJE
TR141  OPERACION DE SERVICIOS DE TRANSPORTES
TR142  OPERACION DE SERVICIOS EN AREAS NATURALES
TR144  OPERACION DE VIAJES
TR145  ORDENAMIENTO ECOLOGICO E IMPACTO AMBIENTAL
MN130  ORGANISMOS INTERNACIONALES
TR137  ORGANIZACION DE CONGRESOS, CONVENCIONES Y EXPOSICIONES
DS111  ORGANIZACION DE LA ADMINISTRACION PUBLICA
AD132  ORIENTACION Y APOYO AL POSGRADO
CM510  PARADIGMAS DE LA INVESTIGACION EDUCATIVA
TR146  PATRIMONIO TURISTICO CULTURAL
TR147  PATRIMONIO TURISTICO NATURAL
CT143  PESCA
AEE13  PLANEACION DE LA ANIMACION  SOCIOCULTURAL Y BICULTURAL
AEE21  PLANEACION DE LA EDUCACION DE LA EDUCACION AMBIENTAL
AEE29  PLANEACION DE LA EDUCACION DE LA EDUCACION ARTISTICA
AEE33  PLANEACION DE LA EDUCACION DE LA EDUCACION EN LENGUAS
AEE25  PLANEACION DE LA EDUCACION DE LA EDUCACION FISICA
AEE52  PLANEACION DE LA EDUCACION DE NI~OS DE LA CALLE
AEE56  PLANEACION DE LA EDUCACION INFRACTORES
AEE17  PLANEACION DE LA EDUCACION PARA LA SALUD
MN137  PLANEACION ESTRATEGICA DE LA MERCADOTECNIA
FN125  PLANEACION FINANCIERA
RH119  PLANEACION Y DOTACION DE RECURSOS HUMANOS
AEC08  PLANEACION Y ORGANIZACION EDUCATIVA
TR148  PLANIFICACION TURISTICA I
TR149  PLANIFICACION TURISTICA II
CM520  POLITICA AMBIENTAL
DS121  POLITICA I
DS124  POLITICA II
DS125  POLITICA III
DS126  POLITICA IV
TR150  POLITICA TURISTICA
DS127  POLITICA V
AD133  POLITICA Y GESTION PUBLICA
DP126  PRACTICA PROFESIONAL
AEC15  PRACTICAS DE INTERVENCION EDUCATIVA
AEE14  PRACTICAS DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE18  PRACTICAS DE LA EDUCACION PARA LA SALUD
AEE10  PRACTICAS DE LA GESTION Y ADMINISTRACION EDUCATIVA
AEE57  PRACTICAS EN LA EDUCACION DE INFRACTORES
AEE22  PRACTICAS EN LA EDUCACION DE LA EDUCACION AMBIENTAL
AEE30  PRACTICAS EN LA EDUCACION DE LA EDUCACION ARTISTICA
AEE34  PRACTICAS EN LA EDUCACION DE LA EDUCACION EN LENGUAS
AEE26  PRACTICAS EN LA EDUCACION DE LA EDUCACION FISICA
AEE53  PRACTICAS EN LA EDUCACION DE NI~OS DE LA CALLE
MT101  PRECALCULO
DP116  PROCEDIMIENTOS ESPECIALES
DV103  PROCESAL CIVIL
DV111  PROCESAL MERCANTIL
DP104  PROCESAL PENAL
CC206  PROGRAMACION DE SISTEMAS
CC401  PROGRAMACION DE SISTEMAS MULTIMEDIA
SI115  PROGRAMACION I
CC307  PROGRAMACION LOGICA Y FUNCIONAL
CC200  PROGRAMACION ORIENTADA A OBJETOS
DV114  PROPIEDAD INDUSTRIAL
RH125  PROTOCOLO CORPORATIVO
CC407  PROYECTO TERMINAL
CJ132  PSICOLOGIA APLICADA AL TURISMO
MN133  PUBLICIDAD
DV112  QUIEBRAS
CM503  RACIONALIDADES EDUCATIVAS Y FORMACION DE SUJETOS EN EL MARCO DE LA PROBLEMATICA AMBIENTAL ACTUAL
CM501  RACIONALIDADES PARA LA CONSTRUCCION DEL CONOCIMIENTO
CM502  RECONSTRUCCION DEL CONOCIMIENTO Y LOS SABERES AMBIENTALES
CM524  RECURSOS DIDACTICOS PARA LA EDUCACION AMBIENTAL
ADC14  REDACCION
AEC12  REDES DE APRENDIZAJE
CC212  REDES DE COMPUTADORAS
CC410  REDES NEURONALES ARTIFICIALES
CT144  REFORMAS FISCAL ANUAL-PERIODICAS
DS106  RELACIONES HUMANAS Y ADMINISTRACION DE PERSONAL
RH129  RELACIONES HUMANAS Y MOTIVACION
AD134  RELACIONES PUBLICAS Y COMUNICACION
RH132  SEGURIDAD Y SALUD EN EL TRABAJO
CT145  SEGUROS Y FIANZAS
FN126  SEGUROS Y FIANZAS
AD135  SEMINARIO DE INVESTIGACION ADMINISTRATIVA
TR158  SEMINARIO DE INVESTIGACION TURISTICA
RH135  SEMINARIO DE RECURSOS HUMANOS
AD136  SEMINARIO DE TITULACION (a)
TR157  SEMINARIO DE TITULACION (t)
MN136  SERVICIO AL CLIENTE
TR143  SERVICIOS EN CENTROS RECREATIVOS
CT146  SILVICOLA
AD137  SIMULACION Y TECNICAS DE NEGOCIOS
ADC11  SISTEMA EDUCATIVO NACIONAL
SI127  SISTEMAS DE INFORMACION
CC315  SISTEMAS DE INFORMACION ADMINISTRATIVOS
CC404  SISTEMAS DE INFORMACION FINANCIEROS
CC405  SISTEMAS DE INFORMACION PARA LA MANUFACTURA
CC406  SISTEMAS DE INFORMACION PARA LA TOMA DE DECISIONES
ET209  SISTEMAS DIGITALES I
CC400  SISTEMAS EXPERTOS
DD112  SISTEMAS JURIDICOS CONTEMPORANEOS
CC300  SISTEMAS OPERATIVOS
CJ134  SOCIOANTROPOLOGIA APLICADA AL TURISMO
CJ136  SOCIOLOGIA DE LAS ORGANIZACIONES
CD101  SOCIOLOGIA DE LAS ORGANIZACIONES (r)
DD118  SOCIOLOGIA I
DD129  SOCIOLOGIA II
DD130  SOCIOLOGIA III
DD131  SOCIOLOGIA IV
DD104  SOCIOLOGIA JURIDICA
DD132  SOCIOLOGIA V
SI132  SOFTWARE APLICADO I
SI133  SOFTWARE APLICADO II
CT121  SOFTWARE ESPECIALIZADO I
SI134  SOFTWARE ESPECIALIZADO I
CT147  SOFTWARE ESPECIALIZADO II
SI135  SOFTWARE ESPECIALIZADO II
DV107  SUCESIONES
CM506  SUSTENTABILIDAD Y MODELOS DE DESARROLLO
CC314  TALLER DE ADMINISTRACION DE BASES DE DATOS
CC303  TALLER DE BASES DE DATOS
CC310  TALLER DE BASES DE DATOS AVANZADAS
ID102  TALLER DE COMUNICACION ORAL Y ESCRITA
RH137  TALLER DE ESTRATEGIAS DE APRENDIZAJE GRUPAL
CC205  TALLER DE ESTRUCTURA DE ARCHIVOS
CC203  TALLER DE ESTRUCTURA DE DATOS
AD142  TALLER DE EXPRESION ORAL Y ESCRITA I
CC312  TALLER DE GRAFICAS POR COMPUTADORA
CC306  TALLER DE INGENIERIA DE SOFTWARE II
CC101  TALLER DE INTRODUCCION A LA COMPUTACION
DD107  TALLER DE LECTURA JURIDICA I
DD108  TALLER DE LECTURA JURIDICA II
MN138  TALLER DE MERCADOTECNIA
CC207  TALLER DE PROGRAMACION DE SISTEMAS
CC103  TALLER DE PROGRAMACION ESTRUCTURADA
CC308  TALLER DE PROGRAMACION LOGICA Y FUNCIONAL
CC201  TALLER DE PROGRAMACION ORIENTADA A OBJETOS
MN139  TALLER DE PUBLICIDAD
ID103  TALLER DE REDACCION
CC213  TALLER DE REDES DE COMPUTADORAS
CC402  TALLER DE SISTEMAS MULTIMEDIA
CC301  TALLER DE SISTEMAS OPERATIVOS
CM518  TECNICAS DEL DESARROLLO DEL TALENTO Y LA CREATIVIDAD
CC211  TELEINFORMATICA
SI136  TELEPROCESOS Y REDES
AEC02  TENDENCIAS Y POLITICAS EDUCATIVAS
MC120  TEORIA DE JUEGOS
CC209  TEORIA DE LA COMPUTACION
DV102  TEORIA DE LAS OBLIGACIONES
DV104  TEORIA DEL ACTO DE COMERCIO Y COMERCIANTE
DP102  TEORIA DEL DELITO
DV101  TEORIA DEL DERECHO CIVIL
DD105  TEORIA DEL ESTADO
AD138  TEORIA GENERAL DE SISTEMAS
DV100  TEORIA GENERAL DEL PROCESO
DS110  TEORIA GENERAL DERECHO ADMINISTRATIVO
AEC01  TEORIA Y ESPISTEMOLOGIA EDUCATIVA
CM509  TEORIAS DEL APRENDIZAJE Y LA EVALUACION
DV109  TITULOS Y OPERACIONES DE CREDITO
CC417  TOPICOS SELECTOS DE COMPUTACION I
CC418  TOPICOS SELECTOS DE COMPUTACION II
CC419  TOPICOS SELECTOS DE COMPUTACION III
CC420  TOPICOS SELECTOS DE INFORMATICA I
CC421  TOPICOS SELECTOS DE INFORMATICA II
CC422  TOPICOS SELECTOS DE INFORMATICA III
TIN00  TRABAJO DE INVESTIGACION
CT148  TRANSPORTE AEREO, MARITIMO, PLUVIAL Y TERRESTRE
TR151  TURISMO RURAL
TR152  TURISMO SOCIAL
TR153  TURISMO SUSTENTABLE
TR154  URBANIDAD
AEP08  USO DE TECNOLOGIAS EN EDUCACION I
AEP09  USO DE TECNOLOGIAS EN EDUCACION II
AEP10  USO DE TECNOLOGIAS EN EDUCACION III
AEP11  USO DE TECNOLOGIAS EN EDUCACION IV
TR155  VENTAS EN SERVICIOS TURISTICOS
DP114  VICTIMOLOGIA
555
