EA145  CAMPO CLINICO EN ENFERMERIA AVANZADA
CB149  CAMPO ELECTROMAGNETICO Y ONDAS
I9173  CAPACITACION Y DESARROLLO DE PERSONAL
I5106  CAPACITACION Y DESARROLLO DE PERSONAL
EA552  CARDIOLOGIA Y CIRUGIA DE TORAX
I9022  CARIOLOGIA
I5391  CASOS CLINICOS INTERDISCIPLINARIOS
I9174  CEREBRO Y LENGUAJE
SA103  CIENCIA DE LA CARNE
SA102  CIENCIA DE LA LECHE
CB150  CIENCIA DE LOS ALIMENTOS
IM201  CIENCIA DE MATERIALES
D1104  CIENCIA PENITENCIARIA
CB151  CIENCIA Y TECNICA DE CEREALES Y OLEAGINOSAS
CB152  CIENCIA Y TECNICA DE LA CARNE
CB153  CIENCIA, TECNOLOGIA Y SOCIEDAD
NC107  CIENCIAS COGNITIVAS
P0602  CIENCIAS DE LA EDUCACION
DV120  CIENCIAS DOGMATICAS I
SDV20  CIENCIAS DOGMATICAS I
DV121  CIENCIAS DOGMATICAS II
SDV21  CIENCIAS DOGMATICAS II
DV122  CIENCIAS DOGMATICAS III
SDV22  CIENCIAS DOGMATICAS III
DV123  CIENCIAS DOGMATICAS IV
SDV23  CIENCIAS DOGMATICAS IV
DV124  CIENCIAS DOGMATICAS V
SDV24  CIENCIAS DOGMATICAS V
D1109  CIENCIAS FORENSES
I9874  CIENCIAS FORENSES
IM215  CINEMATICA Y DINAMICA DE MAQUINAS
CB154  CIRCUITOS ELECTRICOS
IM202  CIRCUITOS ELECTRICOS I
IM203  CIRCUITOS ELECTRICOS II
I9023  CIRUGIA BUCAL I
CI194  CIRUGIA BUCAL I
I9024  CIRUGIA BUCAL II
CI195  CIRUGIA BUCAL II
I8628  CIRUGIA DE MINIMA INVASION
MV130  CIRUGIA DE TEJIDOS BLANDOS Y ORTOPEDIA EN PERROS Y GATOS
EA544  CIRUGIA GENERAL
I9093  CIRUGIA MAXILOFACIAL
CI189  CIRUGIA MAXILOFACIAL
I6080  CIRUGIA ORAL EN ODONTOPEDIATRIA
EA604  CIRUGIA PEDIATRICA
EA548  CIRUGIA PLASTICA Y RECONSTRUCTIVA
MV110  CIRUGIA VETERINARIA
BC115  CITOGENETICA
I8588  CLINICA  DE REUMATOLOGIA Y REHABILITACION
I8626  CLINICA DE ANESTESIOLOGIA
MV122  CLINICA DE AVES
MV121  CLINICA DE BOVINOS
MV125  CLINICA DE CAPRINOS
I8594  CLINICA DE CARDIOLOGIA
I8627  CLINICA DE CIRUGIA CORPORAL Y MORFO FUNCIONAL
I5379  CLINICA DE CIRUGIA ENDODONTICA I
I5380  CLINICA DE CIRUGIA ENDODONTICA II
I8587  CLINICA DE COLOPROCTOLOGIA
I8596  CLINICA DE DERMATOLOGIA
MV123  CLINICA DE EQUINOS
MV128  CLINICA DE GATOS
I8593  CLINICA DE GERONTOGERIATRIA
I8620  CLINICA DE GINECOLOGIA Y OBSTETRICIA
RC127  CLINICA DE GINECOLOGIA Y OBSTRETICIA
I8601  CLINICA DE HEMATOLOGIA
I8604  CLINICA DE INFECTOLOGIA
I8595  CLINICA DE NEFROLOGIA Y RIESGO CARDIOVASCULAR
I8592  CLINICA DE NEUMOLOGIA
I8605  CLINICA DE NEUROLOGIA
I8609  CLINICA DE OFTALMOLOGIA
I8589  CLINICA DE ONCOLOGIA
I9025  CLINICA DE OPERATORIA DENTAL I
CI176  CLINICA DE OPERATORIA DENTAL I
I9026  CLINICA DE OPERATORIA DENTAL II
CI178  CLINICA DE OPERATORIA DENTAL II
I8602  CLINICA DE ORTOPEDIA Y TRAUMATOLOGIA
I8603  CLINICA DE OTORRINOLARINGOLOGIA
MV124  CLINICA DE OVINOS
I8621  CLINICA DE PEDIATRIA
RC145  CLINICA DE PEDIATRIA
MV126  CLINICA DE PERROS
MV127  CLINICA DE PORCINOS
I8597  CLINICA DE PSIQUIATRIA
I8606  CLINICA DE TORAX Y CARDIOVASCULAR
I8625  CLINICA DE TOXICOLOGIA
I8607  CLINICA DE UROLOGIA
I8598  CLINICA EN ENDOCRINOLOGIA Y ENFERMEDADES METABOLICAS
I8586  CLINICA MEDICA
I8599  CLINICA QUIRURGICA
CQ116  CLINICA QUIRURGICA
I9868  CLINICA SOBRE EL PRINCIPIO DE CONVENCIONALIDAD EN EL SISTEMA JURIDICO MEXICANO
MV129  CLINICA Y MANEJO DE FAUNA SILVESTRE
CL143  CLINICAS MEDICAS COMPLEMENTARIAS
CQ117  CLINICAS QUIRURGICAS COMPLEMENTARIAS
CB155  COMBINATORIA
ID410  COMERCIALIZACION
AG154  COMERCIALIZACION DE PRODUCTOS AGROPECUARIOS
P0075  COMERCIALIZACION DE SERVICIOS FINANCIEROS
MN141  COMERCIALIZADORAS INTERNACIONALES
MN104  COMERCIO EXTERIOR
I5424  COMERCIO EXTERIOR
CT128  COMERCIO EXTERIOR, INTERNACIONAL Y MAQUILADORAS
P0029  COMERCIO INTERNACIONAL
CB156  COMERCIO INTERNACIONAL
P0045  COMERCIO INTERNACIONAL
MN105  COMERCIO INTERNACIONAL
MN581  COMERCIO INTERNACIONAL (N)
I9492  COMERZALIZACION DE PRODUCTOS AGROPECUARIOS
CT129  COMISIONES, MEDIACIONES, AGENCIAS Y REPRESENTACIONES
MN106  COMPETITIVIDAD GLOBAL
I5415  COMPETITIVIDAD INTERNACIONAL
CB157  COMPILADORES
CC317  COMPILADORES
ID201  COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES
AD126  COMPORTAMIENTO ORGANIZACIONAL
AD145  COMPORTAMIENTO ORGANIZACIONAL
D0841  COMPORTAMIENTO Y CULTURA ORGANIZACIONAL
I9157  COMPORTAMIENTO Y SALUD LABORAL EN LA PSICOLOGIA ORGANIZACIONAL
DD114  COMPUTACION
SDD14  COMPUTACION
EA538  COMPUTACION
D1172  COMPUTACION
AG102  COMPUTACION I
AG148  COMPUTACION II
AG149  COMPUTACION III
CB158  COMPUTACION TOLERANTE A FALLAS
CC411  COMPUTACION TOLERANTE A FALLAS
I7036  COMPUTACION TOLERANTE A FALLAS
I8859  COMUNICACION CIENTIFICA EN NUTRICION
PA105  COMUNICACION EDUCATIVA
C0339  COMUNICACION EN SALUD
I9129  COMUNICACION HUMANA
I5227  COMUNICACION INTERCULTURAL EN LOS NEGOCIOS
ET400  COMUNICACION MOVIL
ED115  COMUNICACION TERAPEUTICA
