CM504  EVOLUCION HISTORICA DE LAS RELACIONES SOCIEDAD-NATURALEZA
FN131  FACTORAJE FINANCIERO
DV108  FAMILIA
SDV08  FAMILIA
AI128  FERIAS Y FIESTAS REGIONALES
FM107  FILOSOFIA
DD110  FILOSOFIA DEL DERECHO
SDD10  FILOSOFIA DEL DERECHO
DD117  FILOSOFIA I
SDD17  FILOSOFIA I
DD125  FILOSOFIA II
SDD24  FILOSOFIA II
DD126  FILOSOFIA III
SDD25  FILOSOFIA III
DD127  FILOSOFIA IV
SDD26  FILOSOFIA IV
DD128  FILOSOFIA V
SDD27  FILOSOFIA V
CB195  FINANZAS
ID305  FINANZAS
FN110  FINANZAS I
FN112  FINANZAS II
FN102  FINANZAS III
CB196  FINANZAS INTERNACIONALES
MN144  FINANZAS INTERNACIONALES
FN103  FINANZAS IV
CB197  FINANZAS PUBLICAS
FN116  FINANZAS PUBLICAS I
FN104  FINANZAS V
FN105  FINANZAS VI
FN106  FINANZAS VII
FN107  FINANZAS VIII
CB198  FISICA CUANTICA
CB199  FISICA DE PLASMA
CB200  FISICA ESTADISTICA
FS108  FISICA MODERNA BASICA
CB201  FISICOQUIMICA
CB202  FISIOLOGIA
IM239  FLUIDOS
CB203  FLUIDOS Y ELASTICIDAD
RH108  FORMACION Y DESARROLLO DE RECURSOS HUMANOS
CB204  FORMULACION Y EVALUACION DE PROYECTOS
AD130  FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION
CB205  FOTONICA
IM427  FUENTES ALTERNAS DE ENERGIA
NC102  FUNCIONES CEREBRALES SUPERIORES
AI109  FUNDAMENTOS BASICOS DE AGENCIA DE VIAJES
CC321  FUNDAMENTOS DE INGENIERIA DE SOFTWARE
NC105  FUNDAMENTOS DE NEURODIAGNOSTICO
NC103  FUNDAMENTOS DE NEUROPSICOLOGIA
SM111  FUNDAMENTOS DE PSICOTERAPIA DE ADULTOS
TR116  FUNDAMENTOS DEL TURISMO
CT138  FUSION, ESCISION, LIQUIDACION, CONSOLIDACION
CT120  GANADERAS
DP101  GARANTIAS
SDP01  GARANTIAS
DP118  GARANTIAS DE SEGURIDAD JURIDICA
SDP18  GARANTIAS DE SEGURIDAD JURIDICA
DS109  GARANTIAS SOCIALES
SDS09  GARANTIAS SOCIALES
CB206  GENETICA
AI111  GEOGRAFIA TURISTICA DE JALISCO
AI112  GEOGRAFIA TURISTICA NACIONAL
CB207  GEOLOGIA AMBIENTAL
MT105  GEOMETRIA EUCLIDIANA
CL116  GERIATRIA
TR118  GESTION DE SERVICIOS DE ALIMENTOS Y BEBIDAS (r)
TR119  GESTION DE SERVICIOS DE HOSPEDAJE
AEP04  GESTION Y VINCULACION EDUCATIVA
CC311  GRAFICAS POR COMPUTADORA
CT139  GUBERNAMENTAL Y SERVICIOS PUBLICOS
AD131  HABILIDADES DIRECTIVAS
CB208  HIDROLOGIA
ID217  HIGIENE Y SEGURIDAD INDUSTRIAL
CT140  HIPER Y SUPERMERCADOS Y AUTOSERVICIOS
PB105  HISTORIA CRITICA DE LA PSICOLOGIA
DD102  HISTORIA DE DERECHO
SDD02  HISTORIA DE DERECHO
CB209  HISTORIA DE LA CIENCIA
CB210  HISTORIA DE LA DEMOCRACIA
CB312  HISTORIA DE LA TECNICA
CB211  HISTORIA DE LAS IDEAS
CB212  HISTORIA DE LAS IDEOLOGIAS
CB213  HISTORIA DE LOS ERRORES EN LA CIENCIA
CB214  HISTORIA DE LOS PREJUICIOS
AI129  HISTORIA DEL ARTE
AI113  HISTORIA DEL TURISMO EN MEXICO
CS105  HISTORIA SOCIOECONOMICA Y POLITICA DE MEXICO
AI100  HOTELERIA
CT141  HOTELERIA, CONEXOS Y SERVICIOS HOSPITALARIOS
DD113  IDIOMA EXTRANJERO
SDD13  IDIOMA EXTRANJERO
CB216  IMPACTO AMBIENTAL
CB215  IMPACTO AMBIENTAL DE LAS OBRAS DE INGENIERIA
AI131  IMPACTO AMBIENTAL DEL TURISMO
DS123  IMPUESTOS ESPECIALES
SDS23  IMPUESTOS ESPECIALES
MP100  IMPUESTOS I
P0039  IMPUESTOS I
