AV280  ACRILICO
SCJ05  EL ESTUDIANTE ADULTO
SCJ09  EL ESTUDIANTE EN EDUCACION SUPERIOR
ADC03  EL FENOMENO EDUCATIVO
ADC08  EL TRABAJO SOCIAL EN EL AMBITO ESCOLAR
TR112  ELABORACION DE GUIAS TURISTICAS
IF191  ELABORACION DE GUIONES PARA PROYECTOS DE COMUNICACION
AE194  ELABORACION DE MASCARAS
IN127  ELECTRICIDAD I
IN133  ELECTRICIDAD II
IN136  ELECTRICIDAD III
IF122  ELECTRICIDAD Y MAGNETISMO
FS105  ELECTROMAGNETISMO
IF103  ELECTRONICA
ET217  ELECTRONICA ANALOGICA
IN121  ELECTRONICA I
IN126  ELECTRONICA II
IN132  ELECTRONICA III
FM102  ELEMENTOS BASICOS DE ESTADISTICA
FM103  ELEMENTOS BASICOS DE METODOLOGIA CIENTIFICA
PB102  ELEMENTOS BASICOS DE PSICOLOGIA
PR145  ELEMENTOS DE CARICATURA I
PR146  ELEMENTOS DE CARICATURA II
AV229  ELEMENTOS DE DIBUJO ARTISTICO
AV228  ELEMENTOS DE ESCULTURA
AE197  ELEMENTOS DE FONIATRIA
AV227  ELEMENTOS DE PINTURA
MT150  ELEMENTOS DE PROBABILIDAD Y ESTADISTICA
PD275  ELEMENTOS DE PSICOLOGIA
IN145  ENERGIAS ALTERNAS
TR113  ENOLOGIA
TC132  ENSAYE DE MATERIALES
PC511  ENTRENAMIENTO VIVENCIA-EXPERENCIAL SISTEMICO-CONSTRUCCIONISTA II
PC508  ENTRENAMIENTO VIVENCIA-EXPERIENCIAL SISTEMICO-CONSTRUCCIONISTA I
SP101  EPIDEMIOLOGIA
FM104  EPISTEMOLOGIA
AE199  ESCENOGRAFIA I
AE200  ESCENOGRAFIA II
AE196  ESGRIMA BASICA
AEE47  ESPECIALIZANTE ARTISTICA I
AEE48  ESPECIALIZANTE ARTISTICA II
AEE49  ESPECIALIZANTE ARTISTICA III
AEE50  ESPECIALIZANTE ARTISTICA IV
AEE38  ESPECIALIZANTE DISCIPLINAR I
AEE39  ESPECIALIZANTE DISCIPLINAR II
AEE40  ESPECIALIZANTE DISCIPLINAR III
AEE41  ESPECIALIZANTE DISCIPLINAR IV
AEE46  ESPECIALIZANTE DISCIPLINAR IX
AEE42  ESPECIALIZANTE DISCIPLINAR V
AEE43  ESPECIALIZANTE DISCIPLINAR VI
AEE44  ESPECIALIZANTE DISCIPLINAR VII
AEE45  ESPECIALIZANTE DISCIPLINAR VIII
IT432  ESTABILIZACIONES EN GEOTECNIA
P0020  ESTADISTICA
CM514  ESTADISTICA
DD501  ESTADISTICA
