DV124  CIENCIAS DOGMATICAS V
D1109  CIENCIAS FORENSES
I5829  CINETICA QUIMICA Y CATALISIS
IM202  CIRCUITOS ELECTRICOS I
B0024  CITOGENETICA
I2053  CITOGENETICA
I2199  CITOGENETICA VEGETAL
I6666  CITOGENETICA VEGETAL
I2042  CITOLOGIA
FB304  CITOLOGIA EXFOLIATIVA
I6197  CITOLOGIA EXFOLIATIVA
I6679  CITOTOXICOLOGIA
I5912  CLASIFICACION INTELIGENTE DE DATOS
I8444  COBERTURA DE TEMAS SOCIALES CONTEMPORANEOS
D0049  COLOQUIO DE INVESTIGACION
ID410  COMERCIALIZACION
MN141  COMERCIALIZADORAS INTERNACIONALES
CT128  COMERCIO EXTERIOR
MN104  COMERCIO EXTERIOR
I5424  COMERCIO EXTERIOR
P0029  COMERCIO INTERNACIONAL
MN105  COMERCIO INTERNACIONAL
MN581  COMERCIO INTERNACIONAL (N)
B0033  COMERCIO INTERNACIONAL DE PRODUCCION AGROPECUARIOS
I2059  COMERCIO INTERNACIONAL DE PRODUCTOS AGROPECUARIOS
CT129  COMISIONES
MN106  COMPETITIVIDAD GLOBAL
I5415  COMPETITIVIDAD INTERNACIONAL
CC317  COMPILADORES
I2131  COMPLEJIDAD Y ALGORITMIA
I6583  COMPLEJIDAD Y ALGORITMIA
I5305  COMPORTAMIENTO DEL CONSUMIDOR
ID201  COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES
I6184  COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES
AD126  COMPORTAMIENTO ORGANIZACIONAL
AD145  COMPORTAMIENTO ORGANIZACIONAL
D0841  COMPORTAMIENTO Y CULTURA ORGANIZACIONAL
I9157  COMPORTAMIENTO Y SALUD LABORAL EN LA PSICOLOGIA ORGANIZACIONAL
I8428  COMPRENSION DE TEXTOS PERIODISTICOS EN INGLES
DD114  COMPUTACION
D1172  COMPUTACION
D0684  COMPUTACION BASICA
B0008  COMPUTACION I
IP502  COMPUTACION I
B0014  COMPUTACION II
CC411  COMPUTACION TOLERANTE A FALLAS
I7036  COMPUTACION TOLERANTE A FALLAS
I5918  COMPUTO FLEXIBLE (SOFTCOMPUTING)
I8859  COMUNICACION CIENTIFICA EN NUTRICION
I9129  COMUNICACION HUMANA
I5227  COMUNICACION INTERCULTURAL EN LOS NEGOCIOS
I8547  COMUNICACION Y TECNOLOGIAS DE LA INFORMACION
I5101  CONCEPTOS FISCALES FUNDAMENTALES
I5083  CONCEPTOS JURIDICOS FUNDAMENTALES
D1131  CONCURSOS MERCANTILES
DV117  CONDOMINIO
MN107  CONDUCTA DEL CONSUMIDOR
I2213  CONSERVACION DE ALIMENTOS
IP512  CONSTRUCCION
I8440  CONSTRUCCION DE LA AGENDA INFORMATIVA
I8430  CONSTRUCCION DE LA NOTA INFORMATIVA EN INGLES
CT130  CONSTRUCTORAS E INMOBILIARIAS
P0021  CONTABILIDAD ADMINISTRATIVA
CT102  CONTABILIDAD ADMINISTRATIVA
CT504  CONTABILIDAD ADMINISTRATIVA
D0842  CONTABILIDAD ADMINISTRATIVA
I5119  CONTABILIDAD ADMINISTRATIVA
DS113  CONTABILIDAD APLICADA AL DERECHO
I5120  CONTABILIDAD DE COSTOS
CT115  CONTABILIDAD DE COSTOS I
CT503  CONTABILIDAD FINANCIERA Y DE COSTOS
D0840  CONTABILIDAD FINANCIERA Y DE COSTOS
I5086  CONTABILIDAD GENERAL
CT114  CONTABILIDAD GUBERNAMENTAL
CT100  CONTABILIDAD I
CT101  CONTABILIDAD II
CT103  CONTABILIDAD III
MN145  CONTABILIDAD INTERNACIONAL
I5341  CONTABILIDAD INTERNACIONAL Y MONEDA EXTRANJERA
CT104  CONTABILIDAD IV
EN103  CONTABILIDAD NACIONAL
CT105  CONTABILIDAD V
CT106  CONTABILIDAD VI
CT107  CONTABILIDAD VII
CT108  CONTABILIDAD VIII
I2208  CONTAMINACION AMBIENTAL
I6610  CONTAMINACION AMBIENTAL
DS112  CONTENCIOSO ADMINISTRATIVO
DV105  CONTRATOS
D1145  CONTRATOS INTERNACIONALES Y COMERCIO ELECTRONICO
D1080  CONTRATOS MERCANTILES INTERNACIONALES
I5352  CONTRIBUCIONES AL COMERCIO EXTERIOR
I5353  CONTRIBUCIONES ESTATALES Y MUNICIPALES
IQ404  CONTROL AVANZADO DE PROCESOS
I5854  CONTROL AVANZADO DE PROCESOS
I7371  CONTROL DE ALMACENES E INVENTARIOS
I5875  CONTROL DE CALIDAD APLICADA A PROCESOS DE TRANSFORMACION
FB301  CONTROL DE CALIDAD EN LABORATORIO CLINICO
FB323  CONTROL DE CALIDAD FARMACEUTICO Y BIOLOGICO
IQ210  CONTROL DE PROCESOS
I5844  CONTROL DE PROCESOS
I5901  CONTROL DE PROYECTOS
I2157  CONTROL DE SISTEMAS DE EVENTOS DISCRETOS
I6615  CONTROL DE SISTEMAS DE EVENTOS DISCRETOS
ID208  CONTROL ESTADISTICO DE LA CALIDAD
I6185  CONTROL ESTADISTICO DE LA CALIDAD
I6489  CONTROL ESTADISTICO DE LA CALIDAD
MC102  CONTROL ESTADISTICO DE PROCESOS
MC527  CONTROL ESTADISTICO DE PROCESOS (N)
I5336  CONTROL INTERNO DE LAS ORGANIZACIONES
RH109  CONTROL Y SISTEMAS DE PERSONAL
CT131  CONTROLADORAS Y CONTROLADAS
D1132  COOPERACION JURIDICA PROCESAL INTERNACIONAL Y FAMILIAR
CT132  COOPERATIVAS Y CAJAS DE AHORRO
DV115  CORREDURIA PUBLICA
FB317  COSMETOLOGIA
I6198  COSMETOLOGIA
I2165  COSMOLOGIA
I6623  COSMOLOGIA
I5342  COSTOS BASICOS
CT109  COSTOS I
CT110  COSTOS II
CT111  COSTOS III
CT112  COSTOS IV
I2247  CREACION DE EMPRESAS DE BASE TECNOLOGICA
I6705  CREACION DE EMPRESAS DE BASE TECNOLOGICA
MN108  CREACION Y DESARROLLO DE NUEVOS PRODUCTOS
DP113  CRIMINALISTICA
FB217  CRIMINALISTICA
D1161  CRIMINALISTICA
FB213  CRIMINALISTICA GENERAL
